code,name,chapter,description,inclusions,source_datasets
D02,Carcinoma in situ of middle ear and respiratory system,Chapter II: Neoplasms,"Pre-cancerous cells confined strictly to the surface lining of the airways, lungs, or ear cavity.",,National Scotland
D03,Melanoma in situ,Chapter II: Neoplasms,Stage 0 melanoma where abnormal pigment cells are completely restricted to the outermost layer of skin (epidermis).,morphology codes M872-M879 with behaviour code /2,National Scotland
D04,Carcinoma in situ of skin,Chapter II: Neoplasms,Non-melanoma pre-cancerous skin lesions (such as Bowenâ€™s disease) that have not invaded deeper tissues.,,National Scotland
D05,Carcinoma in situ of breast,Chapter II: Neoplasms,Pre-cancerous cells confined inside the milk ducts (DCIS) or lobules (LCIS) of the breast.,,National Scotland
D06,Carcinoma in situ of cervix uteri,Chapter II: Neoplasms,Severe cervical dysplasia or Stage 0 cancer confined to the surface of the cervix.,"cervical intraepithelial neoplasia [CIN], grade III, with or without mention of severe dysplasia",National Scotland
D07,Carcinoma in situ of other and unspecified genital organs,Chapter II: Neoplasms,Stage 0 surface cell abnormalities of the reproductive tract.,,National Scotland
D09,Carcinoma in situ of other and unspecified sites,Chapter II: Neoplasms,Fallback code for pre-cancerous surface lesions at unspecified anatomical sites.,,National Scotland
D12,"Benign neoplasm of colon, rectum, anus and anal canal",Chapter II: Neoplasms,"Non-cancerous growths, most commonly common colon polyps.",,National Scotland
D13,Benign neoplasm of other and ill-defined parts of digestive system,Chapter II: Neoplasms,"Non-cancerous tumors inside the esophagus, stomach, or small bowel.",,National Scotland
D22,Melanocytic nevi,Chapter II: Neoplasms,"The medical classification code for standard, non-cancerous skin moles.",morphology codes M872-M879 with behaviour code /0 | naevus: NOS | naevus: blue | naevus: hairy | naevus: pigmented,National Scotland
D23,Other benign neoplasms of skin,Chapter II: Neoplasms,Non-cancerous non-mole skin growths (such as benign skin cysts or dermatofibromas).,benign neoplasm of: hair follicles | benign neoplasm of: sebaceous glands | benign neoplasm of: sweat glands,National Scotland
D24,Benign neoplasm of breast,Chapter II: Neoplasms,"Non-cancerous breast lumps, such as a fibroadenoma.",Breast: connective tissue | Breast: soft parts,National Scotland
D25,Leiomyoma of uterus,Chapter II: Neoplasms,"Commonly known as uterine fibroids, which are benign smooth-muscle tumors in the uterine wall.",benign neoplasms of uterus with morphology code M889 and behaviour code /0 | fibromyoma of uterus,National Scotland
D27,Benign neoplasm of ovary,Chapter II: Neoplasms,Non-cancerous growths or benign cysts originating in the ovary.,,National Scotland
D30,Benign neoplasm of urinary organs,Chapter II: Neoplasms,Non-cancerous tumors located inside the kidneys or bladder.,,National Scotland
D32,Benign neoplasm of meninges,Chapter II: Neoplasms,A non-cancerous tumor growing in the membranes (meninges) that protect the brain and spinal cord.,,National Scotland
D35,Benign neoplasm of other and unspecified endocrine glands,Chapter II: Neoplasms,Non-cancerous tumors of glands like the adrenal or pituitary glands.,,National Scotland
D37,Neoplasms of uncertain or unknown behavior,Chapter II: Neoplasms,A cancerous growth that pathology reports cannot determine if a tumor is completely begin or fully malignant.,,National Scotland
D39,Neoplasms of uncertain or unknown behavior,Chapter II: Neoplasms,A cancerous growth that pathology reports cannot determine if a tumor is completely begin or fully malignant.,,National Scotland
D40,Neoplasms of uncertain or unknown behavior,Chapter II: Neoplasms,A cancerous growth that pathology reports cannot determine if a tumor is completely begin or fully malignant.,,National Scotland
D41,Neoplasms of uncertain or unknown behavior,Chapter II: Neoplasms,A cancerous growth that pathology reports cannot determine if a tumor is completely begin or fully malignant.,,National Scotland
D46,Neoplasms of uncertain or unknown behavior,Chapter II: Neoplasms,A cancerous growth that pathology reports cannot determine if a tumor is completely begin or fully malignant.,Alkylating-agent-related myelodysplastic syndrome | Epipodophyllotoxin-related myelodysplastic syndrome | Therapy-related myelodysplastic syndrome NOS,National Scotland
D47,Neoplasms of uncertain or unknown behavior,Chapter II: Neoplasms,A cancerous growth that pathology reports cannot determine if a tumor is completely begin or fully malignant.,,National Scotland
D50,Iron deficiency anemia,Chapter III: Diseases of the Blood and Blood-forming Organs,Low red blood cell counts or hemoglobin caused by a lack of iron in the body.,anaemia: asiderotic | anaemia: hypochromic,National Scotland
D51,Vitamin B12 deficiency anemia,Chapter III: Diseases of the Blood and Blood-forming Organs,Anemia caused by a lack of dietary B12 or an inability to absorb it (pernicious anemia).,,National Scotland
D52,Folate deficiency anemia,Chapter III: Diseases of the Blood and Blood-forming Organs,Anemia resulting from insufficient folic acid (Vitamin B9).,,National Scotland
D53,Other nutritional anemias,Chapter III: Diseases of the Blood and Blood-forming Organs,Anemic states driven by other dietary or protein malnutrition factors.,megaloblastic anaemia unresponsive to vitamin B12 or folate therapy,National Scotland
D59,Acquired hemolytic anemia,Chapter III: Diseases of the Blood and Blood-forming Organs,A condition where red blood cells are destroyed and removed from the bloodstream prematurely.,,National Scotland
D61,Other aplastic anemias,Chapter III: Diseases of the Blood and Blood-forming Organs,Disorders where the bone marrow fails to produce enough new blood cells of all types.,,National Scotland
D63,Anemia in chronic diseases classified elsewhere,Chapter III: Diseases of the Blood and Blood-forming Organs,Anemia directly triggered by long-term inflammatory illnesses like kidney failure or cancer.,,National Scotland
D64,Other anemias,Chapter III: Diseases of the Blood and Blood-forming Organs,Fallback code for uncommon or unspecified forms of anemia.,,National Scotland
D68,Other coagulation defects,Chapter III: Diseases of the Blood and Blood-forming Organs,"Blood clotting disorders, including conditions like Von Willebrand disease or factor deficiencies.",,National Scotland
D69,Purpura and other hemorrhagic conditions,Chapter III: Diseases of the Blood and Blood-forming Organs,"Disorders causing bruising, bleeding beneath the skin, or low blood platelet counts (thrombocytopenia).",,National Scotland
D70,Agranulocytosis,Chapter III: Diseases of the Blood and Blood-forming Organs,"A severe and dangerous drop in white blood cells (neutrophils), leaving the body vulnerable to infection.",Agranulocytic angina | Infantile genetic agranulocytosis | Kostmann disease | Neutropenia: NOS | Neutropenia: congenital | Neutropenia: cyclic | Neutropenia: drug-induced | Neutropenia: periodic | Neutropenia: splenic (primary) | Neutropenia: toxic | Neutropenic splenomegaly | Werner-Schultz disease,National Scotland
D73,Diseases of spleen,Chapter III: Diseases of the Blood and Blood-forming Organs,"Disorders of the spleen, such as an enlarged spleen (splenomegaly).",,National Scotland
D75,Other diseases of blood and blood-forming organs,Chapter III: Diseases of the Blood and Blood-forming Organs,Miscellaneous hematological conditions like polycythemia (too many red blood cells).,,National Scotland
E03,Other hypothyroidism,"Chapter IIII: Endocrine, Nutritional and Metabolic Diseases",An underactive thyroid gland that does not produce enough thyroid hormone.,,National Scotland
E04,Other nontoxic goiter,"Chapter IIII: Endocrine, Nutritional and Metabolic Diseases",An enlarged thyroid gland that is not caused by inflammation or overactivity.,,National Scotland
E05,Thyrotoxicosis hyperthyroidism.,"Chapter IIII: Endocrine, Nutritional and Metabolic Diseases",Inflammation of the thyroid gland (such as Hashimoto's thyroiditis).,Thyroid (thyrotoxic): eye diseaseH58.8 | Thyroid (thyrotoxic): heart diseaseI43.8,National Scotland
E10,Type 1 diabetes mellitus,"Chapter IIII: Endocrine, Nutritional and Metabolic Diseases",An autoimmune condition where the pancreas produces little to no insulin.,diabetes (mellitus): brittle | diabetes (mellitus): juvenile-onset | diabetes (mellitus): ketosis-prone,National Scotland
E101,Type 1 diabetes mellitus with ketoacidosis,"Chapter IIII: Endocrine, Nutritional and Metabolic Diseases",Type 1 diabetes complicated by a dangerous buildup of acids (ketones) in the blood.,diabetes (mellitus): brittle | diabetes (mellitus): juvenile-onset | diabetes (mellitus): ketosis-prone,Tayside and Fife
E103D,Type 1 diabetes mellitus with ophthalmic complications,"Chapter IIII: Endocrine, Nutritional and Metabolic Diseases","Type 1 diabetes presenting with eye damage, such as diabetic retinopathy.",diabetes (mellitus): brittle | diabetes (mellitus): juvenile-onset | diabetes (mellitus): ketosis-prone,Tayside and Fife
E105,Type 1 diabetes mellitus with ophthalmic complications,"Chapter IIII: Endocrine, Nutritional and Metabolic Diseases","Type 1 diabetes presenting with eye damage, such as diabetic retinopathy.",diabetes (mellitus): brittle | diabetes (mellitus): juvenile-onset | diabetes (mellitus): ketosis-prone,Tayside and Fife
E109,Type 1 diabetes mellitus without complications,"Chapter IIII: Endocrine, Nutritional and Metabolic Diseases",Well-controlled or stable Type 1 diabetes with no noted organ damage.,diabetes (mellitus): brittle | diabetes (mellitus): juvenile-onset | diabetes (mellitus): ketosis-prone,Tayside and Fife
E11,Type 2 diabetes mellitus,"Chapter IIII: Endocrine, Nutritional and Metabolic Diseases",A chronic metabolic condition where the body resists insulin or fails to produce enough of it.,diabetes (mellitus)(nonobese)(obese): adult-onset | diabetes (mellitus)(nonobese)(obese): maturity-onset | diabetes (mellitus)(nonobese)(obese): nonketotic | diabetes (mellitus)(nonobese)(obese): stable | non-insulin-dependent diabetes of the young,National Scotland
E113D,Type 2 diabetes mellitus with ophthalmic complications,"Chapter IIII: Endocrine, Nutritional and Metabolic Diseases",Type 2 diabetes causing diabetic eye diseases.,diabetes (mellitus)(nonobese)(obese): adult-onset | diabetes (mellitus)(nonobese)(obese): maturity-onset | diabetes (mellitus)(nonobese)(obese): nonketotic | diabetes (mellitus)(nonobese)(obese): stable | non-insulin-dependent diabetes of the young,Tayside and Fife
E114D,Type 2 diabetes mellitus with neurological complications,"Chapter IIII: Endocrine, Nutritional and Metabolic Diseases","Type 2 diabetes causing nerve damage, commonly presenting as diabetic neuropathy (numbness/pain in limbs).",diabetes (mellitus)(nonobese)(obese): adult-onset | diabetes (mellitus)(nonobese)(obese): maturity-onset | diabetes (mellitus)(nonobese)(obese): nonketotic | diabetes (mellitus)(nonobese)(obese): stable | non-insulin-dependent diabetes of the young,Tayside and Fife
